dataset,layer,mean_gold_logit,mean_gold_margin,mean_gold_prob,mean_gold_rank,mean_median_gold_rank,mean_token_count,median_gold_margin,median_gold_rank,method,n_rows,n_samples,receiver_prompt_mode,token_group
gsm8k,0,1.061905128211408,-15.73221784036757,0.00014060677861753223,90393.85731945105,102806.3359375,120.828125,-15.825500774196726,89444.89019429428,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,1,0.6662465593506642,-15.92390993126909,2.0721173433823676e-05,109157.27312344953,127193.875,120.828125,-15.953956810419283,108465.42645926382,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,2,0.3517950667860075,-15.6046032524484,4.739652037395102e-05,111050.43906503056,129825.6640625,120.828125,-15.637849981134588,110889.25298421255,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,3,0.17145240260622535,-15.123707552808744,0.00012467366452900962,109154.76164078423,127548.546875,120.828125,-15.127831661339963,108807.05205406129,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,4,0.28809301360055745,-13.04158523355795,0.00013595313170506237,102447.10150492967,120041.8359375,120.828125,-12.991884190721958,102030.28249930109,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,5,0.6115607142385232,-11.353659858523338,0.00024078229840007143,89528.67469289212,100250.3125,120.828125,-11.29255494898912,88290.38428518103,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,6,0.5540006746924583,-11.181279631426541,0.00027418775895192107,85382.19532925943,90630.328125,120.828125,-11.071160483688523,85697.23728885493,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,7,0.5136149867365649,-10.949294177910767,0.00029749137941029825,79363.6462730991,80689.6640625,120.828125,-10.896278526433544,78699.20666759854,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,8,-0.1528310148974806,-11.888019080420436,0.00021197420826789645,87843.56877766125,96582.15625,120.828125,-11.846033968666728,87999.14993768575,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,9,-1.250189852734787,-13.420104361994456,0.0002863009671322803,103757.9793882172,123093.8046875,120.828125,-13.418905271706006,104466.12160493826,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,10,-0.49406354182801293,-12.325986250869768,0.00038311671790006223,93253.96713672372,107390.59375,120.828125,-12.294861136130915,92187.06646631255,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,11,-0.17840950869102132,-11.740568441245752,0.0003543058138588705,83149.65125001526,88140.2734375,120.828125,-11.768744164085128,82898.17083333334,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,12,-0.22623664032946433,-11.009642991477323,0.0005184563277227103,72755.99746240798,70868.234375,120.828125,-10.981512469723594,72327.5156445557,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,13,-0.06532394942474012,-10.415721037392649,0.0005399526709469088,60099.617849365735,48618.765625,120.828125,-10.424583710451177,60098.44556962025,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,14,0.1763412553389571,-9.144584776943269,0.0008024225410523602,48819.46160385556,32172.3125,120.828125,-9.174935682993087,47349.392673992676,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,15,0.23854853667683876,-9.187994654204202,0.0009512110914813204,46826.292306606716,30855.8515625,120.828125,-9.17615187401865,47170.48527735562,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,16,0.4552402752177436,-8.95290555511723,0.0012765922904161666,39652.850209008764,21003.234375,120.828125,-8.936915787231928,38249.551697530864,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,17,0.4852570116196179,-8.28779268098528,0.0018054204825799542,34134.47519535773,14897.328125,120.828125,-8.307476867221425,32764.676375095492,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,18,1.0160627001213847,-7.595660871516639,0.0036067418996541855,24826.857529134493,7160.7890625,120.828125,-7.560127122464728,24269.264386835814,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,19,1.4289146494656295,-7.5654558538163235,0.0044111638577109345,20819.480708211537,5657.2109375,120.828125,-7.655265409242231,20373.562950158455,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,20,1.9268914596673252,-6.592924413917692,0.010419099303534287,14383.815950940392,2079.2578125,120.828125,-6.478291937036936,13432.642298784018,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,21,2.3409969377351123,-6.465926976201496,0.011097531624064511,14719.340328423956,1888.2421875,120.828125,-6.423623661493429,13489.300977854473,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,22,4.438091089722972,-5.188563417937392,0.05109250650648596,8705.046053724047,261.21875,120.828125,-5.20815907788535,8144.470718760877,mse_only,64,64,context_aware,all_answer_tokens
gsm8k,23,5.351403309845604,-4.650226899453299,0.10094996977666683,4658.276668987786,61.234375,120.828125,-4.751353676539473,4339.545540730337,mse_only,64,64,context_aware,all_answer_tokens
