layer,n,gate_mean,base_readout_norm_mean,counterfactual_readout_norm_mean,readout_cosine_distance_mean,readout_normalized_l2_mean,base_delta_norm_mean,counterfactual_delta_norm_mean,delta_cosine_distance_mean,delta_normalized_l2_mean,base_target_attention_mass_mean,counterfactual_target_attention_mass_mean,base_attention_entropy_mean,counterfactual_attention_entropy_mean
0,16,-0.0053863525390625,68.9635443687439,68.90586233139038,1.8104910850524902e-06,0.004738805717239669,0.3714624233543873,0.3711516335606575,1.9669532775878906e-06,0.004752814962177923,0.01824063336243853,0.01542095368495211,0.8381421118974686,0.8383624441921711
1,16,0.00661468505859375,147.08714389801025,147.00897216796875,5.997717380523682e-07,0.002669896656815685,0.9729341268539429,0.9724143743515015,5.774199962615967e-07,0.0026946003784834756,0.010478281474206597,0.011196465231478214,0.834901001304388,0.8351368866860867
2,16,0.0044403076171875,159.4878339767456,159.8542013168335,3.7029385566711426e-06,0.0076915812947603536,0.7081753760576248,0.7098029293119907,3.725290298461914e-06,0.007699573614501346,0.018126287031918764,0.017801440961193293,0.8178835287690163,0.818039208650589
3,16,0.0188751220703125,304.14173698425293,305.17042541503906,1.4640390872955322e-06,0.006128342190656973,5.740714222192764,5.7601282596588135,1.5310943126678467e-06,0.006144209889198674,0.013823424931615591,0.01226137048797682,0.709987111389637,0.7096849828958511
4,16,0.0189361572265625,321.1221294403076,321.2635917663574,1.1958181858062744e-06,0.002306281621573373,6.080818861722946,6.083500474691391,1.1846423149108887e-06,0.002327905438061856,0.017874602286610752,0.017494142230134457,0.8061865046620369,0.8061757832765579
5,16,0.000698089599609375,411.11095428466797,410.80808448791504,8.605420589447021e-07,0.003939533045132747,0.28699277341365814,0.2867806199938059,8.381903171539307e-07,0.003954463236280858,0.012614638661034405,0.011587231187149882,0.804809182882309,0.8046753294765949
6,16,0.01187896728515625,270.61317443847656,270.73368072509766,1.125037670135498e-06,0.002630621618596143,3.2146160900592804,3.216036319732666,1.2740492820739746e-06,0.0026494296251433464,0.014020900125615299,0.012682156637310982,0.8480445705354214,0.8480840809643269
7,16,-0.01032257080078125,725.2608985900879,725.4138374328613,1.426786184310913e-06,0.003308519447207936,7.486557751893997,7.488141596317291,1.3522803783416748e-06,0.0033248012397034403,0.02205600292654708,0.01952065556542948,0.7867027334868908,0.7867451794445515
8,16,-0.011871337890625,912.0178756713867,914.3055648803711,8.530914783477783e-07,0.006522495082304583,10.82686334848404,10.854045569896698,9.462237358093262e-07,0.006537345272377057,0.015066958760144189,0.013130039267707616,0.8364669792354107,0.8364508152008057
9,16,-0.00943756103515625,1018.9348487854004,1017.9240608215332,2.436339855194092e-06,0.00921724796029905,9.616262257099152,9.606708645820618,2.6114284992218018e-06,0.009228847731997681,0.016089962678961456,0.014751850860193372,0.7506648115813732,0.7507665045559406
10,16,-0.00605010986328125,958.4784278869629,957.9893646240234,2.4996697902679443e-06,0.006742956033056899,5.798900663852692,5.79594361782074,2.678483724594116e-06,0.006752330278361482,0.017097250616643578,0.015149171464145184,0.8376452475786209,0.8376848883926868
