configuration,condition,em,f1,bridge_f1,comparison_f1,compatibility_score
uniform8,correct,0.24532710280373832,0.3237776466729349,0.15637712096332784,0.5588907445796861,2.2238268186555845
uniform8,hard_shuffled,0.24532710280373832,0.31934304395134533,0.15358562091503267,0.5521484133843685,1.9985360589539893
uniform8,zero,0.056074766355140186,0.15983549377189996,0.1223102094915935,0.21253954472738668,-0.47010567081030286
uniform8,reader_off,0.056074766355140186,0.15983549377189996,0.1223102094915935,0.21253954472738668,0.0
uniform8,kv_mismatch,0.25,0.3276356964674361,0.16213155276096453,0.5600853365046151,2.099684836151444
uniform8,wrong_k_correct_v,0.2546728971962617,0.3341890211282374,0.1649405881699999,0.5718974943841887,2.157988525718172
uniform8,correct_k_wrong_v,0.2570093457943925,0.3286350591257134,0.1508451992451992,0.5783399185084579,1.9843029409089936
uniform8,token_permutation,0.24532710280373832,0.3237776466729349,0.15637712096332784,0.5588907445796861,2.2238268091856876
uniform8,layer_permutation,0.24299065420560748,0.3193643548764655,0.15148823207443896,0.5551454262276262,2.2542060298897395
midlate8,correct,0.2266355140186916,0.31735288564590386,0.17280692640692635,0.5203668733410969,3.2875794383967034
midlate8,hard_shuffled,0.22429906542056074,0.3103611403120057,0.1572243599825943,0.5254408879656732,2.9980399352367795
midlate8,zero,0.056074766355140186,0.15983549377189996,0.1223102094915935,0.21253954472738668,-0.7697884480112067
midlate8,reader_off,0.056074766355140186,0.15983549377189996,0.1223102094915935,0.21253954472738668,0.0
midlate8,kv_mismatch,0.22429906542056074,0.3071563800423818,0.14846164604248094,0.5300422424017931,2.551343568992392
midlate8,wrong_k_correct_v,0.2102803738317757,0.3024447322232574,0.14905244783328273,0.5178833338945698,2.5807711791212316
midlate8,correct_k_wrong_v,0.21728971962616822,0.30244874088946894,0.15194844375897007,0.5138255627019672,2.438341475535776
midlate8,token_permutation,0.2266355140186916,0.3169634775462154,0.17214025974025973,0.5203668733410969,3.2875794467524946
midlate8,layer_permutation,0.22897196261682243,0.31968933424403473,0.17680692640692638,0.5203668733410969,3.2086600109795542
key4,correct,0.2383177570093458,0.32772431358879967,0.16103296703296702,0.5618413733582274,3.06359789778139
key4,hard_shuffled,0.2336448598130841,0.32490607350420453,0.15698591778591775,0.5607489888388765,2.7586146400910674
key4,zero,0.056074766355140186,0.15983549377189996,0.1223102094915935,0.21253954472738668,0.11114550942433214
key4,reader_off,0.056074766355140186,0.15983549377189996,0.1223102094915935,0.21253954472738668,0.0
key4,kv_mismatch,0.23130841121495327,0.3168822486132249,0.1756342727642728,0.5152642371651236,2.7039245007751145
key4,wrong_k_correct_v,0.2219626168224299,0.3109311416983329,0.16999835867835866,0.5088704436926785,2.770048855621124
key4,correct_k_wrong_v,0.2219626168224299,0.31020408584161346,0.1573199419884842,0.5249290069836486,2.58314846024335
key4,token_permutation,0.24065420560747663,0.3296083070615782,0.16254407814407812,0.564249078013123,3.0635978997310747
key4,layer_permutation,0.23598130841121495,0.3279351359958837,0.16377484737484735,0.5584973391153166,3.0426360794873997
all36,correct,0.2383177570093458,0.3233521367500234,0.17097871089483993,0.5373597573331459,2.306260105883964
all36,hard_shuffled,0.24532710280373832,0.3297969447021124,0.17023516483516485,0.5539005681107467,2.045755762363149
all36,zero,0.056074766355140186,0.15983549377189996,0.1223102094915935,0.21253954472738668,-0.4846415798240733
all36,reader_off,0.056074766355140186,0.15983549377189996,0.1223102094915935,0.21253954472738668,0.0
all36,kv_mismatch,0.2383177570093458,0.3205800338833238,0.16587863204333794,0.5378572836585848,2.052597579137187
all36,wrong_k_correct_v,0.2383177570093458,0.31865524527629224,0.16378339394809985,0.5361718904001579,2.133015902242928
all36,correct_k_wrong_v,0.23130841121495327,0.31571025893455806,0.1582937654937655,0.5368008396098286,1.9113602134111887
all36,token_permutation,0.2383177570093458,0.32607799344784266,0.17364537756150658,0.5401687460971909,2.306260099477857
all36,layer_permutation,0.24065420560747663,0.3272205424875879,0.17364537756150658,0.5429159988444436,2.3352741760628244
