method,condition,n,em,f1,rejection_accuracy
native16,correct,428,0.2219626168224299,0.30844099566062183,
native16,shuffled,428,0.1985981308411215,0.2691891482840819,0.3247663551401869
native16,zero,428,0.056074766355140186,0.15983549377189996,0.028037383177570093
native16,k_correct_v_wrong,428,0.02570093457943925,0.0338006230529595,0.9205607476635514
native16,k_wrong_v_correct,428,0.028037383177570093,0.036489393265094205,0.9205607476635514
native16,k_correct_v_zero,428,0.056074766355140186,0.15983549377189996,0.028037383177570093
native16,k_zero_v_correct,428,0.06775700934579439,0.12777956363142226,0.647196261682243
native16,layer_permutation,428,0.2219626168224299,0.30844099566062183,
native16,token_permutation,428,0.2219626168224299,0.30844099566062183,
native16,reader_off,428,0.056074766355140186,0.15983549377189996,
native16,question_only,428,0.056074766355140186,0.15983549377189996,
canonical16,correct,428,0.2219626168224299,0.30208305863126333,
canonical16,shuffled,428,0.1822429906542056,0.24884795425079123,0.3644859813084112
canonical16,zero,428,0.056074766355140186,0.15983549377189996,0.028037383177570093
canonical16,k_correct_v_wrong,428,0.007009345794392523,0.009047248182762202,0.9719626168224299
canonical16,k_wrong_v_correct,428,0.007009345794392523,0.007593457943925234,0.9836448598130841
canonical16,k_correct_v_zero,428,0.056074766355140186,0.15983549377189996,0.028037383177570093
canonical16,k_zero_v_correct,428,0.004672897196261682,0.006542056074766355,0.985981308411215
canonical16,layer_permutation,428,0.2219626168224299,0.2978774511546278,
canonical16,token_permutation,428,0.2219626168224299,0.3005254262325094,
canonical16,reader_off,428,0.056074766355140186,0.15983549377189996,
canonical16,question_only,428,0.056074766355140186,0.15983549377189996,
canonical36,correct,428,0.19626168224299065,0.26977675472796253,
canonical36,shuffled,428,0.19158878504672897,0.2612078691840562,0.34345794392523366
canonical36,zero,428,0.056074766355140186,0.15983549377189996,0.028037383177570093
canonical36,k_correct_v_wrong,428,0.018691588785046728,0.02656875834445928,0.9415887850467289
canonical36,k_wrong_v_correct,428,0.02102803738317757,0.03129728526924789,0.9345794392523364
canonical36,k_correct_v_zero,428,0.056074766355140186,0.15983549377189996,0.028037383177570093
canonical36,k_zero_v_correct,428,0.08411214953271028,0.1141289693447472,0.7686915887850467
canonical36,layer_permutation,428,0.1939252336448598,0.26899793852858567,
canonical36,token_permutation,428,0.1939252336448598,0.26899793852858567,
canonical36,reader_off,428,0.056074766355140186,0.15983549377189996,
canonical36,question_only,428,0.056074766355140186,0.15983549377189996,
q4_question_only,question_only,428,0.056074766355140186,0.15983549377189996,
q4_full_text,full_text,428,0.3294392523364486,0.5297425092400142,
q8_full_text,full_text,428,0.4883177570093458,0.6720288220219505,
old_synthetic_reader,correct,428,0.07242990654205607,0.18146886607957882,
